Type,Age,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,PhotoAmt,AdoptionSpeed,Principal,Casual
1,2,2,2,1,1,2,1,1,1,3,-10
2,24,2,2,1,1,1,1,5,0,0,39
2,1,1,2,2,1,2,1,3,0,0,29
2,6,2,1,2,2,2,1,6,1,3,-24
2,12,2,2,2,3,3,1,1,0,0,-16
2,5,2,3,2,1,2,1,5,0,0,14
1,3,3,1,2,1,2,1,5,0,0,25
1,1,2,2,1,1,2,1,7,0,0,38
2,1,2,1,2,2,2,1,16,0,0,-13
1,27,2,2,2,2,2,1,3,0,3,-21
1,2,2,1,2,2,2,1,13,0,0,25
1,3,2,2,2,1,2,1,3,0,0,30
1,4,2,1,2,2,2,1,11,0,3,32
1,36,2,2,2,1,2,1,3,1,3,5
1,24,1,1,3,1,3,2,1,1,3,-40
2,12,2,1,2,3,1,1,1,0,0,25
2,1,2,1,2,1,2,1,4,1,3,39
2,2,2,1,2,1,2,1,2,1,3,-22
1,8,2,1,1,1,1,1,9,0,0,36
1,2,2,2,1,1,2,1,1,0,0,32
1,3,2,1,3,3,3,1,2,1,0,23
2,12,2,1,1,1,1,1,2,0,0,-4
1,3,2,1,1,1,1,1,3,0,0,-25
2,13,2,2,1,1,2,1,3,1,0,38
2,11,2,3,2,2,2,1,3,0,0,-6
2,4,2,1,1,1,1,2,5,0,0,-26
1,2,2,1,2,1,2,1,8,0,0,-37
2,3,2,2,3,1,3,1,1,1,3,21
1,36,2,1,2,2,2,1,1,0,0,-2
2,2,1,2,2,2,2,1,4,1,3,-25
1,2,2,2,3,3,3,1,1,0,0,-1
1,2,2,1,1,1,2,1,6,0,0,-9
1,6,2,2,1,3,3,1,1,0,0,6
2,6,1,1,1,1,1,1,6,0,0,15
1,2,2,2,1,1,2,1,2,1,3,-19
2,1,1,1,2,1,2,1,0,0,3,8
1,14,2,1,1,1,1,1,2,0,0,-10
1,36,2,1,1,1,1,1,1,0,0,30
2,36,2,2,2,2,1,1,4,0,0,6
1,12,3,1,1,1,1,1,2,0,0,-15
1,16,2,1,1,1,1,1,7,0,0,19
1,2,2,1,2,1,2,1,2,1,3,-7
1,5,2,1,3,3,3,1,1,1,3,38
2,2,1,2,2,1,2,1,3,1,3,23
1,1,2,1,3,3,2,1,7,1,3,-6
2,1,1,2,1,1,3,1,3,0,0,-37
1,2,2,1,1,1,2,1,4,0,0,-33
2,16,2,2,2,1,2,1,2,1,3,4
1,2,2,2,2,2,2,1,8,1,3,37
1,5,2,2,3,1,2,1,3,1,3,-9
2,1,1,1,2,2,2,1,1,0,0,-2
2,12,2,1,1,1,1,1,1,0,0,-5
1,8,2,1,1,1,2,1,10,1,3,-1
1,2,2,1,3,3,2,1,5,0,0,33
2,2,2,2,1,1,2,1,4,0,0,8
1,4,2,2,1,1,2,1,2,1,3,-11
2,2,1,1,3,3,3,1,3,1,3,-10
1,36,3,2,3,3,1,1,3,0,0,-9
2,36,2,3,1,1,1,2,1,1,3,-28
2,2,3,3,2,2,2,1,5,0,0,7
1,2,2,1,2,1,2,1,4,1,3,-7
2,3,2,1,2,1,2,1,12,0,0,27
2,12,2,1,3,3,3,1,4,0,0,-36
1,7,3,3,1,1,2,1,2,0,3,-6
1,3,2,1,2,2,2,1,1,0,0,-27
2,2,1,1,2,2,2,1,1,1,0,33
2,4,2,2,2,2,2,2,4,1,0,12
2,6,3,1,1,1,2,1,3,0,0,27
2,6,2,2,2,2,2,1,2,0,0,-12
1,2,2,1,1,1,2,1,3,0,3,-37
1,18,1,1,1,1,2,1,5,0,0,16
1,2,3,1,2,2,2,1,5,1,3,15
1,3,2,2,2,2,2,1,4,1,0,8
1,24,2,2,1,1,1,1,1,1,3,-30
1,2,2,1,2,2,3,1,5,0,0,-12
1,0,1,1,2,2,2,1,1,1,3,-17
1,53,2,2,1,3,3,1,1,0,0,-17
1,1,1,1,2,2,2,1,2,0,0,9
2,2,2,2,2,2,2,1,4,1,3,13
1,2,3,1,3,3,3,1,2,1,3,15
2,12,2,1,2,1,1,1,3,1,3,25
2,12,2,3,1,3,3,1,5,1,3,24
1,12,2,2,2,1,2,1,1,0,0,-20
1,30,1,1,1,3,2,1,3,0,0,28
1,10,2,1,1,1,1,1,5,1,3,17
1,4,2,2,1,1,1,1,3,1,3,7
1,1,2,1,2,2,2,1,1,0,3,-2
1,78,2,2,3,3,3,1,2,0,0,11
2,3,2,1,2,2,2,1,4,0,0,36
2,5,1,1,1,1,1,1,5,0,0,-39
1,1,1,1,3,3,2,1,3,0,3,16
2,2,2,1,2,1,2,1,14,1,3,-28
2,5,2,1,2,2,2,1,3,0,0,-1
2,2,2,2,2,2,2,1,2,1,3,-40
1,2,2,1,2,1,2,1,3,0,3,-23
2,2,2,1,1,1,2,1,5,1,0,7
1,60,2,2,1,1,1,1,1,1,3,9
1,1,2,2,2,1,2,1,4,1,3,-6
1,4,2,2,2,1,2,1,5,0,0,10
1,1,2,3,2,2,2,1,1,1,3,12
1,2,2,1,2,2,2,1,1,1,3,15
1,3,3,2,1,1,2,1,5,1,3,-14
2,2,2,1,2,1,2,1,11,1,3,-10
1,3,3,1,2,1,2,1,19,1,3,-11
1,4,1,3,1,1,2,1,1,1,3,36
1,24,2,2,1,1,1,1,2,1,3,-27
1,5,2,1,1,1,1,1,6,0,0,16
2,3,1,1,2,2,2,1,1,1,0,29
2,2,2,2,1,1,1,1,24,0,0,-18
1,24,2,2,3,3,1,1,2,1,0,26
1,24,2,1,1,3,2,1,1,1,3,23
1,48,3,2,1,1,1,1,1,0,3,1
1,24,2,1,1,1,1,1,7,0,3,-33
1,2,2,1,2,2,2,1,2,0,0,36
1,24,2,2,1,1,1,1,1,0,0,35
2,24,2,3,1,1,2,1,1,1,3,-33
1,1,2,2,2,2,2,1,2,1,3,25
1,3,2,2,1,1,2,1,3,1,3,15
1,72,1,1,1,1,2,3,0,0,0,37
2,2,2,1,2,1,2,1,5,1,3,39
1,3,3,2,2,2,1,1,1,0,0,30
2,4,2,1,2,1,1,1,7,1,3,24
2,13,2,2,2,2,2,1,11,1,3,-25
1,84,1,3,1,1,1,2,1,0,0,-19
1,2,1,1,1,3,2,1,5,1,0,3
2,5,2,1,1,1,2,1,4,1,3,-4
1,2,2,2,2,2,2,1,3,1,3,24
2,12,2,1,2,1,2,1,5,0,0,5
2,12,2,1,2,1,1,1,1,0,0,39
1,5,2,1,1,1,1,1,5,0,0,0
2,1,1,2,2,2,2,1,7,1,3,24
2,6,1,1,1,1,1,1,3,0,0,18
1,1,1,2,2,2,2,1,0,0,0,14
2,36,2,3,2,1,2,1,2,0,3,3
2,3,1,2,1,1,2,1,1,0,3,-13
1,2,2,1,2,1,2,2,4,0,0,20
1,1,2,1,2,1,2,1,2,0,3,22
2,62,3,1,1,1,1,1,2,1,3,20
2,22,2,2,1,1,1,1,7,0,0,-11
2,2,1,1,1,1,2,1,2,0,0,-17
2,3,2,1,2,2,2,1,1,1,3,23
1,18,2,2,1,1,1,1,7,1,3,-1
2,3,2,2,2,2,2,1,4,1,3,-10
1,1,1,1,2,2,2,1,1,0,0,11
1,3,2,1,2,1,1,1,6,1,0,-3
2,1,2,1,2,2,2,1,5,1,3,19
1,12,2,1,1,1,1,1,1,0,0,24
1,6,2,2,1,1,1,1,7,0,3,-34
1,2,2,2,1,1,3,1,1,0,0,-34
2,5,2,2,1,1,3,1,1,0,3,7
2,2,2,1,2,2,2,1,2,1,0,-32
1,10,2,2,1,3,3,1,3,0,0,26
1,2,2,1,2,2,2,1,1,1,3,-36
1,84,3,2,3,3,3,1,2,1,3,24
2,1,3,2,2,1,3,1,2,1,3,17
2,2,1,3,2,2,2,1,8,1,3,0
1,2,3,2,2,2,2,1,3,0,0,-23
2,12,1,2,2,2,2,1,3,0,0,-13
1,60,1,3,1,1,2,1,3,1,3,-17
1,36,1,1,3,3,3,1,3,0,0,15
1,48,2,3,3,3,3,1,1,1,3,38
2,3,1,1,1,1,2,1,7,1,3,16
1,2,2,1,1,1,2,1,1,0,0,24
1,2,2,1,1,1,2,1,3,1,0,-22
1,2,2,1,2,2,2,2,2,0,0,12
1,120,1,2,3,3,3,1,1,1,3,-19
2,1,2,2,3,3,2,1,2,1,3,-24
1,2,1,1,3,3,3,1,1,0,0,-8
2,3,2,1,2,2,2,1,3,1,3,9
1,24,2,1,3,3,3,1,3,1,3,5
2,7,2,2,3,3,3,1,9,0,0,-40
2,3,1,2,2,2,2,1,4,0,0,-24
2,7,2,1,2,2,2,1,3,1,3,21
1,2,2,1,2,2,2,1,3,0,0,-1
2,24,2,3,3,3,3,1,4,0,0,4
1,36,1,2,1,1,1,1,5,0,0,13
2,2,2,1,2,2,2,1,0,0,0,-14
1,1,2,2,2,1,2,1,1,0,0,26
2,10,2,2,2,2,2,1,1,0,0,-18
2,2,1,1,1,1,2,1,5,1,3,-35
1,31,2,1,1,1,2,1,1,0,0,-28
2,3,3,2,1,1,2,1,4,0,0,20
1,2,1,1,1,1,2,1,0,0,0,-13
2,10,1,1,1,1,1,1,23,0,0,30
1,24,2,1,3,3,2,1,3,0,0,20
1,24,2,1,1,1,1,2,2,0,0,-33
1,1,2,1,1,1,2,1,3,1,3,-38
1,18,2,1,1,1,1,1,3,0,0,29
1,17,2,1,1,1,1,1,2,0,0,-14
1,2,2,2,1,1,2,1,1,1,0,34
1,3,2,1,3,3,2,1,2,0,0,-10
1,135,1,1,3,1,3,2,0,0,3,-10
1,60,1,1,1,1,2,1,2,1,3,8
1,2,2,1,2,1,2,1,5,1,0,-10
1,2,2,2,1,1,2,1,1,1,3,-3
2,29,2,3,2,2,2,1,7,1,3,10
1,4,3,2,2,2,2,1,3,1,0,-25
2,2,1,2,2,2,2,1,1,1,3,-12
2,3,2,1,2,1,2,1,3,1,3,-32
2,3,2,2,1,1,1,1,3,1,3,-38
1,2,2,1,1,1,2,1,3,1,3,39
1,2,2,1,1,1,2,1,14,1,3,10
1,12,2,3,1,1,1,1,2,0,0,8
1,15,1,1,1,1,2,1,12,1,3,23
2,3,1,2,2,2,2,1,9,0,0,5
2,2,1,1,2,1,2,1,1,1,3,15
1,4,1,1,1,1,3,1,2,0,0,13
2,2,1,1,2,1,3,1,2,0,0,20
1,24,2,2,3,3,3,1,4,0,0,34
1,48,3,3,1,1,1,1,3,0,0,-20
2,60,2,2,1,1,2,1,0,0,0,16
2,4,3,3,2,1,2,1,1,1,3,6
2,2,2,1,2,1,2,1,8,1,3,-25
1,60,1,2,1,1,3,1,4,1,3,28
2,132,2,1,1,1,1,1,1,0,0,1
1,3,1,3,1,1,3,1,2,1,0,25
1,12,2,2,3,3,3,1,3,1,3,28
2,24,2,1,3,3,1,2,2,0,0,13
2,2,1,1,2,2,2,1,5,1,3,-11
2,2,1,1,2,1,2,1,2,0,0,-11
2,12,2,1,2,1,1,1,6,0,0,17
2,6,2,2,2,1,2,1,4,0,0,37
2,12,1,1,1,1,1,1,2,0,0,-5
1,24,3,1,3,3,1,2,2,0,0,-14
2,12,2,3,2,2,3,1,3,1,0,-18
2,1,3,3,2,2,2,1,7,1,3,37
2,60,3,2,1,1,1,1,1,0,0,6
2,2,1,1,2,2,2,1,9,1,3,36
2,2,1,1,1,1,2,1,5,0,0,27
2,12,2,2,2,1,2,1,2,0,0,-33
2,9,2,3,2,1,2,2,2,0,0,4
1,2,1,1,1,1,2,1,4,1,3,-40
1,3,2,2,1,1,1,1,3,0,0,-18
2,1,2,2,2,2,2,1,3,1,3,7
1,2,2,1,1,1,2,1,1,0,3,28
2,36,2,3,2,1,1,2,3,0,0,-26
1,1,1,1,2,2,2,1,2,0,0,34
1,2,2,1,2,1,1,1,8,0,0,-28
1,36,3,2,1,1,1,1,1,0,3,26
2,1,2,1,2,1,2,1,11,1,3,-35
2,4,2,2,1,1,2,1,6,0,0,-1
1,12,2,1,1,1,3,1,3,0,0,-33
2,12,2,3,3,3,3,1,5,1,3,-4
2,4,2,1,2,2,2,1,1,0,0,-13
1,3,2,2,2,2,2,1,4,0,0,32
2,2,2,1,2,1,2,1,4,1,3,30
1,3,2,1,1,1,1,1,2,1,3,0
1,1,2,1,2,2,2,1,1,0,0,-32
1,6,1,1,3,3,2,1,5,0,0,-27
2,5,2,3,2,2,2,1,2,0,0,25
2,2,2,1,3,3,3,1,7,1,3,-24
2,5,2,2,2,2,2,1,4,1,0,-33
2,12,2,1,2,2,2,1,3,0,0,-26
2,1,2,1,2,1,2,1,7,1,3,-24
2,47,2,3,2,2,2,1,2,0,0,-40
2,3,1,1,2,2,2,1,3,0,3,5
2,1,2,1,2,1,2,1,14,1,3,9
1,5,1,1,3,3,3,1,3,0,0,16
2,8,2,1,1,1,2,1,6,0,3,13
1,3,1,1,3,3,3,2,0,0,0,-3
2,1,2,1,2,2,2,1,1,1,3,-11
2,18,2,1,2,1,1,1,1,0,0,17
1,3,2,2,2,1,2,1,2,0,0,4
2,3,2,2,2,2,2,1,3,1,0,37
1,120,3,1,3,3,3,1,3,0,0,33
2,2,1,1,2,2,2,1,27,1,3,-27
1,12,1,2,1,1,2,1,4,1,3,-19
1,4,2,1,1,1,3,1,4,0,0,-11
1,2,2,1,3,3,3,1,5,0,0,-20
2,24,2,2,3,3,3,1,1,0,0,-37
1,12,1,1,3,1,3,1,3,1,3,24
1,96,3,3,1,1,1,1,2,1,3,-18
1,2,2,1,2,1,2,1,8,1,0,-17
1,2,2,2,2,1,2,1,4,0,0,-18
2,2,3,3,2,2,2,1,2,0,0,-33
1,55,2,1,1,1,1,1,5,1,0,-19
2,2,2,1,2,2,2,1,1,1,3,0
2,3,1,1,3,3,3,1,1,0,0,0
1,2,1,1,2,2,2,1,2,1,3,3
1,18,2,2,1,1,1,1,2,0,0,-13
2,9,2,1,2,2,2,1,8,0,0,-34
2,1,1,1,2,2,2,1,1,1,0,-19
1,5,2,1,1,1,2,1,3,0,0,-16
2,10,1,2,1,1,1,1,1,1,3,10
2,4,2,1,1,1,1,1,26,0,0,12
2,2,1,1,2,2,2,1,5,1,0,-15
1,1,2,1,2,1,2,1,4,1,3,32
2,2,3,1,3,3,3,1,5,1,3,-30
1,2,2,1,2,1,2,1,5,0,0,8
1,5,2,2,1,1,2,1,1,0,0,-5
1,8,1,2,1,1,2,1,4,0,0,-23
1,48,1,3,1,1,2,1,2,1,3,28
1,4,1,1,2,1,2,1,1,1,3,-6
1,3,2,2,1,1,2,1,4,0,0,-16
1,60,1,2,3,1,3,2,3,0,0,28
2,17,1,1,3,3,1,1,3,0,0,-4
2,5,2,2,2,2,2,1,1,0,0,9
2,3,2,1,1,1,2,1,0,1,3,1
1,3,2,2,3,3,2,1,3,0,0,-25
1,1,2,1,3,3,2,1,3,0,0,6
1,12,2,1,1,1,1,1,2,1,3,-30
1,36,3,2,3,3,3,2,4,0,0,35
1,2,2,2,1,1,3,1,2,0,0,-16
2,5,2,1,1,3,2,1,2,1,3,-23
1,12,1,2,1,1,3,1,2,1,3,-11
2,5,1,1,1,1,1,1,5,0,0,0
1,3,2,1,2,1,3,1,5,0,0,8
1,2,2,1,2,1,2,1,3,0,0,20
2,30,2,2,2,2,2,1,1,1,3,-5
2,1,2,1,2,1,2,1,3,0,3,24
1,4,1,1,1,1,1,1,2,0,0,-5
1,6,2,1,2,2,2,1,1,0,0,-11
1,6,2,1,1,1,1,1,1,0,3,6
1,9,2,1,3,1,2,1,4,1,3,-8
2,2,1,1,2,2,2,1,5,1,3,19
1,3,2,1,1,1,2,1,1,0,0,12
2,6,1,1,2,2,2,3,4,0,0,13
2,3,2,3,2,1,2,1,5,1,3,-1
1,72,1,1,3,1,3,1,2,1,3,11
1,2,2,2,2,1,2,1,2,1,3,33
1,60,1,2,1,1,1,1,3,1,3,10
2,12,2,1,1,1,1,1,5,1,3,-12
1,4,2,1,2,1,2,1,1,1,3,3
1,0,2,1,2,2,2,1,13,1,3,-5
1,2,1,2,1,1,2,1,0,1,3,24
2,4,2,2,3,3,3,1,4,1,0,0
1,4,2,1,1,1,2,2,3,1,3,-13
2,3,2,1,2,2,2,1,3,0,0,-13
2,19,2,2,1,1,1,1,3,0,0,-1
2,36,2,2,1,1,1,1,4,0,0,2
2,1,1,2,2,2,2,1,3,1,3,32
1,96,2,1,1,1,1,1,1,1,3,39
1,36,3,2,1,1,1,1,14,0,0,25
1,1,2,2,2,2,2,1,4,1,3,-16
2,3,2,3,1,1,2,1,2,1,3,-15
2,4,1,1,2,1,2,1,6,1,3,7
2,1,2,1,2,1,2,1,4,1,3,-2
2,5,2,1,2,2,2,1,1,1,3,-22
1,1,2,1,1,1,2,1,1,0,0,-36
2,72,2,1,1,1,1,1,10,0,0,23
1,2,2,2,1,1,2,1,5,1,3,13
1,0,2,1,2,2,2,1,7,1,3,4
2,4,1,1,2,2,2,1,3,0,0,36
1,5,2,1,3,3,3,1,3,1,3,19
1,5,2,1,1,1,2,1,2,1,3,19
2,2,1,2,2,2,2,1,3,1,3,9
1,2,2,1,2,2,2,1,1,0,3,17
1,2,1,1,2,2,2,1,4,0,0,1
1,2,2,1,2,2,2,1,2,1,3,-27
1,2,2,1,1,1,2,1,6,0,0,1
1,4,2,2,1,1,1,1,3,1,3,39
2,4,1,1,2,2,2,1,5,1,3,28
2,11,2,1,3,3,2,1,3,0,0,-23
1,7,2,2,1,1,1,1,7,0,0,-35
1,2,1,1,2,1,2,1,1,1,3,-16
1,1,2,1,2,2,2,1,8,0,0,-38
1,24,2,1,1,1,1,1,6,0,0,-22
2,2,1,2,2,2,2,1,2,1,0,-7
1,5,2,1,1,1,1,1,6,0,0,-29
1,1,1,1,2,1,2,1,5,1,3,8
2,2,1,2,2,2,2,1,7,1,3,19
1,3,2,1,1,1,1,1,7,0,0,-1
1,2,2,1,2,1,2,1,7,1,3,30
2,1,2,2,3,3,2,1,3,1,3,16
2,17,2,2,2,1,3,1,1,0,0,33
1,3,2,1,3,3,3,1,3,0,0,-2
1,2,2,1,2,2,2,1,2,0,0,6
1,50,1,1,1,1,1,1,4,0,0,2
2,7,2,1,1,1,2,1,7,1,0,-15
1,3,1,1,2,1,2,1,4,0,3,-34
2,3,1,2,1,1,2,1,1,1,3,-27
2,12,2,2,1,1,1,1,1,0,3,-22
1,3,2,1,2,2,2,1,9,0,0,-40
1,12,2,2,2,2,2,1,2,1,3,25
2,4,2,2,3,3,3,1,2,1,3,24
2,2,2,2,2,2,2,1,3,1,3,-10
2,2,2,2,1,1,2,1,11,1,3,3
2,1,2,2,2,1,2,1,5,1,3,-11
2,2,2,1,2,2,2,1,16,1,3,-26
2,5,2,1,1,1,1,2,1,0,0,36
1,2,2,1,2,1,2,1,7,1,0,29
2,36,2,1,1,3,2,1,1,0,0,15
1,6,2,1,1,1,2,1,1,0,0,5
2,3,1,3,2,2,2,1,3,1,0,39
2,6,1,1,1,1,1,1,3,0,0,19
1,3,2,1,1,1,2,1,1,0,0,-40
2,6,2,2,2,2,2,1,3,1,0,28
1,2,2,1,2,2,2,1,2,1,3,23
1,1,2,2,2,2,2,1,11,0,0,39
1,12,2,2,2,2,1,1,7,1,3,0
1,7,2,1,1,1,3,1,2,0,0,36
1,3,1,1,3,3,3,1,1,0,0,-39
1,2,2,2,2,2,2,1,4,1,3,-29
1,2,2,1,2,2,2,1,5,0,0,31
1,2,2,1,1,1,2,1,5,1,3,20
2,92,2,3,1,2,1,1,3,1,3,-27
1,3,2,1,1,1,1,1,6,0,0,-24
2,4,1,1,2,2,2,1,6,0,3,12
1,6,3,1,1,1,2,1,4,0,0,-4
1,7,2,1,1,1,1,1,3,0,0,-1
2,3,1,1,1,1,3,2,5,0,0,-1
2,0,2,1,2,2,2,2,1,1,0,-30
2,17,2,1,1,1,1,1,6,1,3,-25
2,10,1,1,1,1,1,1,1,1,3,-25
1,36,2,1,1,1,1,1,1,1,0,-18
2,1,2,1,2,2,2,1,8,1,3,-29
1,1,2,2,2,2,2,1,3,1,3,29
2,2,1,1,2,1,2,2,10,1,3,3
1,2,2,1,2,1,2,1,6,1,3,-23
1,48,2,2,3,3,3,1,3,0,0,19
2,8,2,1,2,1,1,1,3,1,3,-18
2,6,2,1,2,2,3,1,5,0,3,-32
1,48,2,2,3,3,3,1,0,0,0,-13
1,1,2,1,2,2,2,1,1,1,0,-40
1,3,2,1,1,1,2,1,7,0,3,-22
2,4,2,1,2,2,2,1,7,1,3,6
2,1,2,1,2,1,2,1,3,1,3,-38
2,19,3,3,1,1,2,1,3,1,0,20
1,1,2,1,2,1,2,1,6,1,3,-28
1,5,1,1,1,1,2,1,5,1,3,23
1,12,2,1,3,3,3,1,1,0,0,-16
1,4,3,2,2,1,2,1,12,1,3,28
2,21,2,1,1,1,2,1,2,0,3,-6
1,8,1,1,1,1,3,1,1,1,3,-37
2,5,3,3,2,1,2,1,1,1,3,38
2,2,2,1,2,1,2,1,5,1,3,26
1,3,3,1,1,1,1,1,1,1,3,18
1,3,2,1,2,1,2,1,3,0,3,23
1,1,2,1,2,2,2,1,1,0,0,-27
1,36,2,2,1,1,1,1,2,1,3,-23
2,24,3,1,1,1,1,1,11,0,0,9
1,8,2,1,3,3,1,1,3,1,0,-33
1,12,2,2,3,3,1,1,3,0,0,3
1,11,2,1,1,1,1,1,2,0,0,-29
1,12,1,2,1,1,1,1,5,0,0,-21
2,24,1,1,3,3,1,1,3,1,3,4
1,1,2,1,2,2,2,1,3,0,0,-33
2,2,2,2,1,1,2,1,5,1,3,8
2,1,2,1,2,1,2,1,11,1,3,33
2,3,1,1,2,2,2,1,12,1,3,27
1,4,2,1,1,1,1,1,2,1,3,3
1,1,2,1,1,1,1,1,7,0,0,-25
1,1,2,1,2,2,2,1,7,0,0,7
2,2,2,1,2,2,2,1,5,1,3,32
2,2,2,2,1,1,2,1,4,1,0,-1
2,10,2,2,3,3,2,1,1,1,3,-25
2,72,2,2,3,3,3,1,5,1,3,-9
1,2,2,1,3,1,2,1,2,1,3,8
1,2,2,1,2,1,2,1,1,1,3,15
2,1,1,1,2,2,2,1,3,1,3,-35
1,2,2,1,2,1,2,1,3,1,3,-5
2,2,2,1,2,1,2,1,5,0,0,-1
2,3,2,1,2,1,2,1,1,1,3,1
2,5,2,1,1,1,1,1,13,0,0,-3
1,5,2,1,1,1,2,1,1,1,0,28
1,2,2,1,2,2,2,1,7,1,3,-21
2,2,2,1,2,1,3,1,4,1,3,-36
1,1,2,2,2,2,2,1,6,1,3,16
1,12,2,2,1,1,1,1,11,0,0,29
2,1,1,1,2,2,2,1,1,1,0,-22
1,2,2,1,1,1,2,1,4,1,3,29
2,39,3,3,3,3,3,1,2,0,3,14
2,3,2,2,3,3,3,1,3,1,0,20
1,8,1,2,1,1,1,1,2,0,0,-2
1,1,2,1,2,2,2,1,8,0,0,-14
1,2,2,1,1,1,2,1,5,0,0,24
2,3,2,1,2,1,2,1,11,0,3,35
1,27,2,2,1,1,1,1,1,0,0,-12
1,2,2,2,1,1,2,1,4,0,0,-11
1,2,2,2,2,2,2,1,5,0,0,30
1,15,1,2,1,1,2,1,3,0,0,31
2,6,2,2,2,2,2,1,3,0,0,0
1,2,2,2,3,3,3,1,1,0,0,-10
1,3,3,1,1,1,1,1,3,0,0,-35
2,6,3,3,1,1,2,1,3,1,3,-36
2,4,2,2,1,1,2,1,4,0,0,17
2,36,2,2,2,2,3,1,1,0,0,-23
1,1,2,1,2,2,2,1,1,1,3,0
1,1,2,2,2,2,2,1,5,1,3,39
1,2,2,1,2,2,2,1,2,1,3,-23
1,1,2,1,1,1,1,1,3,1,3,36
2,19,2,1,1,1,1,1,4,0,0,-9
1,2,2,1,2,2,2,1,2,1,3,-12
1,60,2,1,1,1,1,1,8,0,0,-4
1,1,2,1,2,2,2,1,5,1,3,-31
2,3,2,2,1,1,2,1,8,0,0,-22
1,41,2,2,1,1,3,1,2,0,0,-9
2,2,3,1,2,1,2,1,2,0,0,-16
2,2,1,2,2,2,2,1,1,0,3,7
1,3,3,1,1,1,2,1,4,1,0,-39
2,4,1,1,3,1,2,1,7,1,3,-10
1,1,2,2,2,1,2,1,1,1,3,-33
2,2,1,1,3,1,3,1,1,1,3,-34
2,12,1,2,3,3,3,1,1,0,0,-30
1,2,2,1,2,2,2,1,3,1,3,39
2,6,2,2,3,1,2,1,2,1,3,7
1,2,2,1,2,1,2,1,7,1,3,-37
1,2,3,1,1,1,2,1,1,0,0,38
2,2,2,1,2,1,2,1,7,1,3,-30
1,2,1,1,1,3,2,1,3,0,0,-28
2,3,2,1,2,1,2,1,2,1,3,32
1,2,2,2,2,2,2,1,1,0,3,19
2,18,2,1,1,1,1,1,4,0,3,-32
2,1,1,2,2,2,2,1,8,1,3,5
1,2,2,1,1,1,2,1,6,1,3,-14
1,10,2,1,1,1,2,1,2,0,0,-34
1,1,2,2,2,2,2,1,1,0,0,-5
1,6,2,1,1,1,1,1,4,0,0,32
1,3,2,1,3,1,3,1,2,0,0,-1
2,3,1,1,2,2,2,1,1,1,3,22
1,2,2,1,2,2,2,1,3,1,3,-32
2,12,2,2,2,2,2,1,0,0,3,-22
1,2,2,2,1,1,2,1,4,0,0,14
1,2,2,3,1,1,2,1,1,1,0,-29
1,24,3,1,3,1,1,1,2,1,3,-28
1,2,2,1,1,1,2,1,9,1,0,-2
2,2,1,2,2,3,2,1,3,1,3,-6
1,6,2,1,1,1,1,1,6,0,0,-31
1,14,3,2,1,1,1,1,3,1,0,-23
1,60,3,2,1,1,2,1,5,0,0,-18
1,2,2,1,2,2,2,1,2,1,3,8
